photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1314840,1491,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01491/ids/edr/browse/ncam/NLG_1491_0799295383_972ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-29,8,Perseverance,2021-02-18,2020-07-30,active
1314841,1491,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01491/ids/edr/browse/ncam/NLG_1491_0799295190_988ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-29,8,Perseverance,2021-02-18,2020-07-30,active
1314842,1491,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01491/ids/edr/browse/ncam/NLG_1491_0799295226_050ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-29,8,Perseverance,2021-02-18,2020-07-30,active
1314845,1491,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01491/ids/edr/browse/ncam/NLG_1491_0799295388_035ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-29,8,Perseverance,2021-02-18,2020-07-30,active
1314846,1491,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01491/ids/edr/browse/ncam/NLG_1491_0799295379_599ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-29,8,Perseverance,2021-02-18,2020-07-30,active
1314847,1491,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01491/ids/edr/browse/ncam/NLG_1491_0799295353_020ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-29,8,Perseverance,2021-02-18,2020-07-30,active
1314848,1491,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01491/ids/edr/browse/ncam/NLG_1491_0799295301_730ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-29,8,Perseverance,2021-02-18,2020-07-30,active
1314849,1491,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01491/ids/edr/browse/ncam/NLG_1491_0799295348_979ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-29,8,Perseverance,2021-02-18,2020-07-30,active
1314850,1491,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01491/ids/edr/browse/ncam/NLG_1491_0799295344_544ECM_N0730000NCAM00500_00_2I4J01_1200.jpg,2025-04-29,8,Perseverance,2021-02-18,2020-07-30,active
1314851,1491,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01491/ids/edr/browse/ncam/NLF_1491_0799294792_006ECM_N0730000NCAM00501_01_295J01_1200.jpg,2025-04-29,8,Perseverance,2021-02-18,2020-07-30,active
